name,vote_count
Herbie Collection,559.0
Road Trip Collection,550.0
Spy Kids Collection,544.75
Clint Eastwood's Iwo Jima Collection,542.5
Smokin' Aces Collection,541.0
I Spit on Your Grave Collection,537.0
The X-Files Collection,534.0
Sex and the City Collection,525.0
A Haunted House Collection,523.0
Super Size Me Collection,520.0
Jeepers Creepers Collection,517.5
Harold & Kumar Collection,517.3333333333334
Never Back Down Collection,511.0
My Big Fat Greek Wedding Collection,507.0
Wall Street Collection,504.0
Tooth Fairy Collection,500.0
Mirrors Collection,494.0
Friday the 13th Collection,490.6666666666667
Star Trek: The Next Generation Collection,488.0
Texas Chainsaw Massacre Collection,475.0
Into the Blue Collection,466.0
Behind Enemy Lines Collection,464.0
Piranha 3D Collection,459.0
Jackass Collection,445.75
The Grudge Collection,442.3333333333333
The Cell Collection,442.0
Final Fantasy Collection,441.0
Bad Santa Collection,441.0
Planes Collection,427.0
Dr. Dolittle Collection,422.0
The Muppet Collection,413.5
The Whole Nine/Ten Yards Collection,411.0
Clerks Collection,407.0
Vacancy Collection,406.0
Big Momma's House Collection,404.0
The Sisterhood of the Traveling Pants Collection,396.0
Heart of Gold Collection,392.0
Halloween (Rob Zombie Series) Collection,391.5
The Woman in Black Collection,389.0
Walking Tall Collection,387.0
Analyze Collection,385.0
Dragon Ball Z (Movie) Collection,377.0
Best Exotic Marigold Hotel Collection,372.5
Street Kings Collection,369.0
The Man with the Iron Fists Collection,369.0
Super Troopers Collection,367.0
The Collector Collection,365.0
Save The Last Dance Collection,359.0
Alex Cross Collection,355.5
Quarantine Collection,343.0
Nim's Island Collection,341.0
The Nutty Professor Collection,338.0
The Cabin Fever Collection,332.0
Joy Ride Collection,328.0
101 Dalmatians (Live-Action) Collection,327.0
Vampires Suck Collection,326.0
The Dukes Of Hazzard Collection,321.0
Open Water Collection,320.0
Shaft Collection,316.0
Honey Collection,313.0
Hoodwinked! Collection,313.0
Daddy Day Camp Collection,310.0
House of 1000 Corpses Collection,310.0
Peter Pan Collection,304.0
My Bloody Valentine Collection,303.0
Child's Play Collection,302.0
Chili Palmer Collection,296.0
Living Dead Collection,294.5
Stake Land Collection,290.0
Think Like a Man Collection,287.0
The Eye Collection,284.0
Diary of a Wimpy Kid Collection,282.6666666666667
Max (Collection),282.0
The Jungle Book Collection,278.0
When a Stranger Calls Collection,273.0
The Santa Clause Collection,272.0
White Noise Collection,267.0
The Last Exorcism Collection,267.0
The Boondock Saints Collection,264.0
Joe Dirt Collection,247.0
The Vampire Chronicles,247.0
Goal! Collection,244.0
Cats & Dogs Collection,242.5
Waiting Collection,241.0
Justice League (Animated) Collection,234.0
Deuce Bigalow Collection,232.0
Halloween Collection,230.0
The Are We Collection,227.0
12 Rounds Collection,223.0
Agent Cody Banks Collection,217.0
Without a Paddle Collection,217.0
Beverly Hills Chihuahua Collection,217.0
The Messengers Collection,216.0
Anaconda Collection,200.0
The Boogeyman Collection,194.0
Tekken Collection,185.0
Basic Instinct Collection,183.0
Alone in the Dark Collection,174.0
The Marine Collection,165.0
Blue Crush Collection,164.0
The Skulls Collection,160.0
Dungeons & Dragons Collection,159.0
God's Not Dead Collection,157.5
Dirty Dancing Collection,154.0
Pulse Collection,154.0
Dracula 2000 Collection,150.0
Crocodile Dundee Collection,149.0
Stargate SG-1 Collection,143.0
Undisputed Collection,141.0
The Flintstones (Live-Action) Collection,140.0
The Art of War Collection,136.0
The Three Mothers Collection,135.0
The Exorcist Collection,133.0
Dolphin Tale Collection,132.0
Barbershop Collection,129.0
Universal Soldier Collection,126.5
Alpha and Omega Collection,125.0
Friday Collection,124.0
BloodRayne Collection,120.0
Street Fighter,113.0
The Best Man Collection,110.0
Curious George Collection,109.0
Happily N'Ever After Collection,108.0
Highlander Collection,107.0
House of the Dead Collection,106.0
Urban Legend,102.0
Space Chimps Collection,102.0
Center Stage Collection,95.0
Hatchet Collection,91.0
Stomp the Yard Collection,90.0
Disneys Große Pause,68.0
Another Gay Movie Collection,48.0
Atlas Shrugged Collection,38.0
Elektra Luxx Collection,30.0
Space Dogs,10.0
Eye of the Dolphin Collection,7.0
