name,vote_count,vote_average,revenue
Animation,1628.478787878788,6.333333333333333,313688085.45454544
Fantasy,2103.5101214574897,6.121862348178137,312093050.0607287
Adventure,2160.680412371134,6.178969072164949,307312994.8659794
Family,1401.1885521885522,6.12020202020202,267541190.49158248
Science Fiction,2162.29,6.038,234570773.98
Action,1768.3203007518796,6.052781954887218,208239482.19849625
Comedy,834.3527397260274,5.981050228310502,117398098.1369863
War,1075.6764705882354,6.5205882352941185,111977869.13235295
Thriller,1103.845126835781,6.056875834445928,107607849.90520695
Western,1538.9615384615386,6.434615384615385,103943122.42307693
Mystery,1124.173076923077,6.146634615384615,99465330.67307693
Music,601.9125,6.432499999999999,98866198.4
History,862.1805555555555,6.629166666666667,95726164.94444445
Romance,742.3831325301205,6.2453012048192775,94134233.87710844
Crime,1035.2666666666667,6.268461538461538,90900220.14358975
Drama,857.6894353369763,6.434517304189436,80589943.80692168
Horror,711.6428571428571,5.587593984962407,68901259.10902256
Documentary,152.66666666666666,6.7,27019585.48148148
Foreign,7.0,7.1,111300.0
